pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,precipitation,surface_pressure,datetime,aqi,pm25_log,pm25_lag_1h,pm25_lag_2h,pm25_lag_3h,pm25_lag_6h,pm25_lag_12h,pm25_lag_24h,pm25_lag_48h,pm25_roll_mean_3h,pm25_roll_std_3h,pm25_roll_mean_6h,pm25_roll_std_6h,pm25_roll_mean_12h,pm25_roll_std_12h,pm25_roll_mean_24h,pm25_roll_std_24h,pm10_lag_1h,pm10_lag_6h,nitrogen_dioxide_lag_1h,nitrogen_dioxide_lag_6h,carbon_monoxide_lag_1h,carbon_monoxide_lag_6h,wind_x,wind_y,hour_sin,hour_cos,month_sin,month_cos,stagnation_index,is_weekend,temp_diff_24h,hum_diff_24h
13.6,23.1,394.0,3.2,10.2,179.0,34.5,24.0,8.4,208.0,0.0,948.0,2026-06-07 11:00:00,54,2.681021528714291,2.667228206581955,2.681021528714291,2.714694743820879,3.250374491927572,3.4531571205928664,2.772588722239781,3.3978584803966405,2.676423754670179,0.007963578246293918,2.816205079335426,0.20367276198698808,3.0418530836348125,0.2902515134129466,2.9315719259629165,0.3521088248942505,23.0,27.6,5.0,49.4,486.0,281.0,-7.416759780014986,-3.9435611274014835,0.258819045102521,-0.9659258262890682,0.49999999999999994,-0.8660254037844387,0.28521505624620114,1,2.0,-5.0
14.2,24.1,348.0,2.2,9.6,183.0,35.3,22.0,2.1,165.0,0.0,947.8,2026-06-07 12:00:00,55,2.7212954278522306,2.681021528714291,2.667228206581955,2.681021528714291,3.1135153092103742,3.4688560301359703,2.7536607123542622,3.417726683613366,2.689848387716159,0.02809361464557459,2.7508350991090684,0.14309998822127154,2.979556366777835,0.2697743964213964,2.930223372441999,0.3528809704779175,23.1,23.9,3.2,39.2,394.0,397.0,-2.028444235207043,0.5435199947152941,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.8778372347910421,1,1.2999999999999972,-4.0
14.8,25.4,318.0,2.3,8.7,183.0,35.4,21.0,2.2,156.0,0.1,947.0,2026-06-07 13:00:00,57,2.760009940032921,2.7212954278522306,2.681021528714291,2.667228206581955,3.039749158970765,3.3877743613300146,2.740840023925201,3.4339872044851463,2.7207756321998144,0.039496771023756094,2.7042118959527612,0.034521119418474494,2.9272426650030767,0.24295126640197015,2.931022118946487,0.3524551018251095,24.1,22.6,2.2,25.0,348.0,550.0,-2.009800006813722,0.894820614766761,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,-0.8660254037844387,0.8625031062602878,1,0.8999999999999986,-5.0
14.8,26.1,299.0,2.6,7.9,181.0,35.4,23.0,7.2,243.0,0.0,946.4,2026-06-07 14:00:00,57,2.760009940032921,2.760009940032921,2.7212954278522306,2.681021528714291,2.714694743820879,3.2733640101522705,2.72785282839839,3.4404180948154366,2.747105102639358,0.022351834029121453,2.7117644286547677,0.04152065883865334,2.884463159159797,0.2206363238866261,2.932361998597926,0.35170949539752816,25.4,21.0,2.3,13.6,318.0,637.0,-3.268731598124738,-6.415246974156248,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,-0.8660254037844387,0.3365865780527953,1,0.29999999999999716,-2.0
14.3,26.3,270.0,2.5,7.1,178.0,35.0,24.0,8.4,251.0,0.5,946.2,2026-06-07 15:00:00,56,2.72785282839839,2.760009940032921,2.760009940032921,2.7212954278522306,2.681021528714291,3.1612467120315646,2.7013612129514133,3.4339872044851463,2.7492909028214108,0.018565917058623097,2.7195696452687845,0.03890503263895187,2.848347002190366,0.20621026352867855,2.933465815908217,0.3509938365826211,26.1,22.6,2.6,7.9,299.0,595.0,-2.7347724974401157,-7.942356035034262,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,-0.8660254037844387,0.290197109404084,1,-0.29999999999999716,0.0
13.6,25.8,252.0,2.6,6.4,173.0,35.5,21.0,5.9,223.0,0.1,945.8,2026-06-07 16:00:00,54,2.681021528714291,2.72785282839839,2.760009940032921,2.760009940032921,2.667228206581955,3.0633909220278057,2.681021528714291,3.4468078929142076,2.7229614323818674,0.039720732582690786,2.721868532290841,0.035447509418971145,2.816482886080907,0.19938985669922982,2.933465815908217,0.3509938365826211,26.3,23.0,2.5,5.0,270.0,486.0,-4.314986839553106,-4.023790324368741,-0.8660254037844384,-0.5000000000000004,0.49999999999999994,-0.8660254037844387,0.3885538447412016,1,0.29999999999999716,-3.0
11.8,21.1,305.0,4.4,6.2,165.0,36.3,19.0,2.3,274.0,0.0,945.0,2026-06-07 17:00:00,49,2.5494451709255714,2.681021528714291,2.72785282839839,2.760009940032921,2.681021528714291,3.250374491927572,2.2192034840549946,3.214867803470662,2.6527731760127513,0.09249756825992944,2.699939139326054,0.07932033510838284,2.75807210933074,0.159380862916595,2.94722588619449,0.32745929150130887,25.8,23.1,2.6,3.2,252.0,394.0,0.160439889611488,-2.2943973155975956,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,-0.8660254037844387,0.7725591427047187,1,1.1999999999999957,-4.0
11.0,20.0,505.0,9.7,6.2,150.0,35.2,22.0,4.0,3.0,0.0,944.8,2026-06-07 18:00:00,46,2.4849066497880004,2.5494451709255714,2.681021528714291,2.72785282839839,2.7212954278522306,3.1135153092103742,2.2925347571405443,3.2268439945173775,2.571791116475955,0.0999488238849107,2.6605410096486826,0.11655743869303159,2.7056880543788755,0.13306706562432252,2.9552413817214678,0.31276169289141,21.1,24.1,4.4,2.2,305.0,348.0,3.9945181390182953,0.20934382497177534,-1.0,-1.8369701987210297e-16,0.49999999999999994,-0.8660254037844387,0.4969813299576001,1,1.9000000000000057,-9.0
12.6,19.8,776.0,17.5,6.3,129.0,32.7,33.0,4.9,10.0,0.0,944.7,2026-06-07 19:00:00,52,2.6100697927420065,2.4849066497880004,2.5494451709255714,2.681021528714291,2.760009940032921,3.039749158970765,2.631888840136646,3.3775875160230218,2.5481405378185262,0.06259176974005691,2.635550985100197,0.10661561821426614,2.669881440526479,0.08363119834506777,2.9543322547466917,0.31377254873634924,20.0,25.4,9.7,2.3,505.0,318.0,4.82555798975982,0.8508760705679587,-0.9659258262890684,0.2588190451025203,0.49999999999999994,-0.8660254037844387,0.44238471063423834,1,2.200000000000003,-8.0
16.0,22.8,944.0,27.1,6.4,105.0,30.7,41.0,4.3,343.0,0.0,944.6,2026-06-07 20:00:00,59,2.833213344056216,2.6100697927420065,2.4849066497880004,2.5494451709255714,2.760009940032921,2.714694743820879,3.0819099697950434,3.58351893845611,2.6427299288620745,0.17643526202704457,2.6477515524374122,0.12611241323602054,2.6797579905460904,0.0955531619656474,2.9439698953409064,0.3134825781971879,19.8,26.1,17.5,2.6,776.0,299.0,4.112110450641052,-1.2571983303077696,-0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387,0.534568555482305,1,2.3999999999999986,-13.0
